Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3504,ASST CITY ATTY,1," 	146,500 "
1702,PKG MAINT WKR 2,1," 	63,980 "
1427,PKG CASHIER,0.8," 	37,635 "
1463,ASST PKG UTIL MGR,1," 	99,140 "
2806,PKG EQUIP MECH,1," 	53,582 "
3001,PKG SERVICE WKR,1," 	56,392 "
2989,PKG CASHIER,0.75," 	33,038 "
4137,PKG CASHIER,0.55," 	26,345 "
3472,ENGINEER 4,1," 	96,580 "
2835,PKG CASHIER,0.8," 	36,267 "
2459,PKG CASHIER-16,1," 	47,899 "
2271,PKG MAINT WKR 1,1," 	58,455 "
3488,PKG CASHIER,0.7," 	29,937 "
3516,PKG SERVICE WKR,1," 	56,900 "
2620,PKG MAINT WKR 1,1," 	58,455 "
6342,PKG CASHIER,0.8," 	31,255 "
2683,PKG REVENUE SUPV,1," 	74,510 "
1682,PKG OPER ASST,1," 	67,494 "
1126,PKG REVENUE LDWKR,0.9," 	53,566 "
2808,PKG MAINT SUPV,1," 	74,510 "
2641,PKG TECH AIDE,1," 	61,722 "
VACANT,VACANT,VACANT,VACANT
3982,PKG REVENUE LDWKR,1," 	55,323 "
2517,PROGRAM ASST 1,1," 	56,678 "
2005,PKG CASHIER,0.6," 	28,740 "
2285,PKG CASHIER,0.5," 	23,308 "
2435,PKG OPER SUPV,1," 	85,503 "
VACANT,VACANT,VACANT,VACANT
1715,PKG REVENUE CLERK,1," 	50,173 "
3268,PKS GEN SUPV,1," 	77,090 "
3581,PKS MAINT WKR,1," 	55,323 "
3293,LANDSCAPE ARCHITECT3,1," 	82,352 "
3098,PKS EQUIP MECH 1,1," 	59,908 "
2790,PLUMBER,1," 	69,731 "
VACANT,VACANT,VACANT,VACANT
3413,PKS EQUIP MECH 1,1," 	64,562 "
1592,FORESTRY SPEC,1," 	69,566 "
3646,ARBORIST 1,1," 	56,796 "
3237,CITY FORESTER,1," 	92,986 "
3794,ARBORIST 1,1," 	55,189 "
VACANT,VACANT,VACANT,VACANT
1798,PKS MAINT WKR,1," 	58,455 "
3723,CARPENTER,1," 	68,217 "
5305,PKS MAINT WKR,1," 	49,418 "
2661,PKS MAINT WKR,1," 	57,933 "
2813,PUB WKS LEADWKR,1," 	63,123 "
3765,PKS MAINT WKR,1," 	56,367 "
2211,TREE TRIMMER FORE,1," 	71,408 "
5793,PKS MAINT WKR,1," 	47,871 "
3028,PROGRAM ASST 2,1," 	59,784 "
3299,PKS MAINT WKR,1," 	55,323 "
5784,CARPENTER,1," 	58,676 "
1290,ARBORIST 1,1," 	55,189 "
3362,HORTICULTURE SUPV,1," 	80,726 "
1630,PKS MAINT WKR,1," 	55,323 "
2604,PKS MAINT MECHANIC,1," 	67,550 "
3300,ARBORIST 1,1," 	55,189 "
7842,PROGRAM ASST 1,1," 	49,233 "
3621,SURVEYOR 2,1," 	77,090 "
3762,PKS MAINT WKR,1," 	57,933 "
2153,PKS EQUIP MECH 1,1," 	59,908 "
7810,ARBORIST 1,1," 	50,803 "
3338,PKS GEN SUPV,1," 	65,670 "
2023,CONSERV TECH,1," 	58,050 "
2616,ADMIN ASST,1," 	62,879 "
9556,GARDENER,1," 	47,871 "
3824,EQPT OPR 3,1," 	62,559 "
3635,ARBORIST 1,1," 	56,796 "
9175,CONS RESOURCE SUPV,1," 	63,757 "
1799,ARBORIST 2,1," 	61,432 "
3584,TREE TRIMMER FORE,1," 	71,408 "
1412,ARBORIST 2,1," 	62,559 "
1392,EQPT OPR 2,1," 	60,011 "
7831,ADMIN CLK 1,1," 	46,454 "
2371,GARDENER-LEAD,1," 	61,995 "
1811,PKS MAINT WKR,1," 	57,411 "
1967,ARBORIST 2,1," 	63,123 "
1838,ADMIN CLK 1,1," 	52,187 "
3097,PUB WKS LEADWKR,1," 	63,123 "
7814,ARBORIST 1,1," 	50,803 "
7811,ARBORIST 1,1," 	50,803 "
10522,PROGRAM ASST 1,1," 	46,454 "
9038,PKS MAINT WKR,1," 	47,871 "
3617,EQPT OPR 3,1," 	63,123 "
6437,RECR SERVS COORD,1," 	69,518 "
3211,EQPT OPR 3,1," 	62,559 "
1762,PROGRAM ASST 3,1," 	58,595 "
3615,PROGRAM ASST 1,0.8," 	46,591 "
2117,ARBORIST 1,1," 	60,011 "
3131,PKS MAINT WKR,1," 	53,758 "
3162,FACILITY MAINT WKR,1," 	57,411 "
3963,GARDENER-16  PT,0.5," 	28,184 "
3148,MAINT MECH 2,1," 	65,839 "
2115,PKS MAINT WKR,1," 	55,323 "
2731,ENGINEER 2-18,1," 	77,090 "
2446,FORESTRY OPR SUPV,1," 	76,469 "
3344,PKS MAINT WKR,1," 	58,455 "
2124,ELECTRICIAN FOREPERS,1," 	74,976 "
1765,MAINT MECH 1,1," 	63,980 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
3302,ARBORIST 2,1," 	58,050 "
1896,WELDER,1," 	67,550 "
2469,PKS OPR LDWKR,1," 	66,947 "
1446,OLBR FAC/VOL COORD,1," 	63,966 "
3427,PKS OPR LDWKR,1," 	56,359 "
2568,CLERK-TYP 2,1," 	48,975 "
3633,LANDSCAPE CONSTR SUP,1," 	76,363 "
3667,EQPT OPR 3,1," 	62,559 "
1019,CONSERV TECH,1," 	58,050 "
1672,ARBORIST 1,1," 	56,796 "
7386,PKS COM REL COORD,1," 	69,518 "
2979,BOTANICAL CENTER DIR,1," 	97,347 "
3089,PKS MAINT WKR,1," 	58,455 "
7659,PKS MAINT WKR,1," 	47,871 "
VACANT,VACANT,VACANT,VACANT
8116,PKS COMM SERVS MGR,1," 	87,800 "
2362,RECR SERVS COORD,1," 	74,908 "
3243,PKS FAC/MAINT SUPV,1," 	89,547 "
8315,PLAYGROUND TECH,1," 	55,109 "
8040,ARBORIST 1,1," 	50,803 "
3797,PKS MAINT WKR,1," 	52,192 "
3163,PKS MAINT WKR,1," 	58,455 "
2817,PKS EQUIP MECH 2,1," 	68,944 "
2223,CEMETERY OPRS LDWKR,1," 	56,359 "
4644,GOLF CLUB OPER SUPV 1,1," 	58,685 "
3589,PKS MAINT WKR,1," 	53,758 "
3541,PKS GEN SUPV,1," 	80,726 "
1157,PARKS SUPT,1," 	132,369 "
7671,ARBORIST 1,1," 	47,871 "
1631,GREENSKEEPER 3,1," 	65,138 "
5368,PKS MAINT WKR,1," 	49,418 "
3287,PKS OPER MGR,1," 	89,556 "
3997,PKS MAINT WKR,1," 	58,455 "
5500,PKS MAINT WKR,1," 	50,803 "
1088,GREENSKEEPER 1,1," 	58,050 "
8183,PUB WKS LEADWKR,1," 	50,803 "
2725,ARBORIST 2,1," 	62,559 "
1287,PKS MAINT MECHANIC,1," 	67,550 "
2038,ARBORIST 2,1," 	63,123 "
10320,ADMIN CLK 1,0.6," 	26,273 "
7812,ARBORIST 1,1," 	50,803 "
3364,PKS PLAN/DEV MGR,1," 	103,952 "
2865,GREENSKEEPER 2,1," 	63,398 "
3764,EQPT OPR 3,1," 	61,432 "
3399,PKS MAINT MECHANIC,1," 	67,550 "
2266,PUB WKS LEADWKR,1," 	63,123 "
2983,HORTICULTURIST,1," 	69,566 "
2815,PKS MAINT WKR,1," 	53,758 "
2924,STR MACH OPR 3,1," 	58,954 "
1783,STR MACH OPR 1,1," 	56,740 "
3637,STR MACH OPR 1,1," 	52,180 "
4568,STR MACH OPR 1,1," 	46,727 "
1424,STR MACH OPR 1,1," 	56,740 "
4062,STR MACH OPR 1,1," 	52,180 "
3531,PUB WKS GEN FORE-18,1," 	77,164 "
3771,STR SEW MAINT WKR 2,1," 	59,000 "
2445,OPERATING MAINT WKR,1," 	61,178 "
3213,STR MACH OPR 2,1," 	58,064 "
3175,STR MACH OPR 1,1," 	55,726 "
2499,STR MACH OPR 1,1," 	56,233 "
2498,STR MACH OPR 1,1," 	56,740 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
1419,STR MACH OPR 1,1," 	53,700 "
VACANT,VACANT,VACANT,VACANT
3626,STR MACH OPR 2,1," 	56,495 "
1781,STR MACH OPR 2,1," 	58,064 "
1618,STR MACH OPR 1,1," 	53,700 "
8694,STR MACH OPR 1,1," 	44,769 "
2855,STR MACH OPR 3,1," 	60,622 "
VACANT,VACANT,VACANT,VACANT
1821,MAINT MECH 1,1," 	64,694 "
7660,STR MACH OPR 1,1," 	44,769 "
3513,ADMIN CLK 1,1," 	54,649 "
3236,STR MACH OPR 1,1," 	52,180 "
1761,STR MACH OPR 1,1," 	53,700 "
VACANT,VACANT,VACANT,VACANT
3836,STR MACH OPR 1,1," 	55,220 "
3205,STR MACH OPR 1,1," 	55,726 "
2921,STR MACH OPR 1,1," 	53,700 "
1663,STR MACH OPR 1,1," 	53,700 "
2017,STR MACH OPR 3,1," 	55,617 "
2843,STR MACH OPR 3,1," 	61,178 "
1321,STR MACH OPR 2,1," 	57,018 "
1050,STR MACH OPR 2,1," 	55,449 "
1185,STS PUB INFO/REC,1," 	74,908 "
3404,PUB WKS GEN FORE,1," 	76,469 "
3461,STR MACH OPR 2,1," 	53,879 "
4632,STR MACH OPR 1,1," 	48,358 "
2087,STR MACH OPR 1,1," 	53,700 "
2097,STR MACH OPR 3,1," 	61,734 "
5503,STR MACH OPR 1,1," 	46,727 "
3837,OPERATING MAINT WKR,1," 	60,066 "
8544,STR MACH OPR 1,1," 	44,769 "
2572,STR MACH OPR 1,1," 	56,740 "
5242,STR MACH OPR 1,1," 	50,660 "
2518,STR MACH OPR 3,1," 	60,066 "
2899,STR MACH OPR 1,1," 	52,180 "
1033,STR MACH OPR 2,1," 	58,587 "
1752,STREETS SUPT,1," 	129,939 "
VACANT,VACANT,VACANT,VACANT
3825,STR MACH OPR 1,1," 	52,180 "
3731,STR MACH OPR 3,1," 	61,734 "
2902,PUB WKS GEN FORE-18,1," 	75,079 "
2651,STR MACH OPR 1,1," 	56,740 "
8545,STR MACH OPR 1,1," 	44,769 "
3040,OPERATING ASST,1," 	67,564 "
3388,STS GEN SUPV,1," 	81,454 "
2884,STS OPER ANAL,1," 	82,352 "
2308,STR MACH OPR 1,1," 	53,700 "
1626,PUB WKS GEN FORE,1," 	72,993 "
2287,STR MACH OPR 1,1," 	53,700 "
7543,STR MACH OPR 1,1," 	46,727 "
3167,STR MACH OPR 3,1," 	62,291 "
2834,STR SEW MAINT WKR 1,1," 	50,473 "
2511,STR SEW MAINT WKR 2,1," 	55,752 "
7551,STR MACH OPR 1,1," 	44,769 "
3319,STR SEW MAINT WKR 2,1," 	58,458 "
3784,OPERATING MAINT WKR,1," 	60,622 "
1837,STR MACH OPR 1,1," 	52,180 "
VACANT,VACANT,VACANT,VACANT
1787,STR MACH OPR 3,1," 	61,734 "
1874,STR MACH OPR 1,1," 	52,180 "
5433,STR MACH OPR 1,1," 	46,727 "
3583,STR MACH OPR 1,1," 	56,233 "
3227,STR MACH OPR 2,1," 	57,541 "
7545,STR MACH OPR 1,1," 	44,769 "
1173,STR MACH OPR 1,1," 	52,180 "
2018,STR MACH OPR 1,1," 	56,233 "
3068,PUB WKS GEN FORE,1," 	77,164 "
2245,PUB WKS GEN FORE,1," 	76,469 "
2991,STR MACH OPR 3,1," 	62,291 "
2171,STR SEW MAINT WKR 2,1," 	54,128 "
5022,STR MACH OPR 1,1," 	48,358 "
3597,STR MACH OPR 2,1," 	57,018 "
3604,STR MACH OPR 2,1," 	57,541 "
3291,STR MACH OPR 1,1," 	53,700 "
2303,PUB WKS GEN FORE,1," 	77,860 "
2931,STR MACH OPR 1,1," 	53,700 "
3582,STR MACH OPR 2,1," 	58,587 "
1724,STR SEW MAINT WKR 2,1," 	60,082 "
3644,STR MACH OPR 2,1," 	55,449 "
5366,STR MACH OPR 1,1," 	48,358 "
4854,STR MACH OPR 1,1," 	46,727 "
4057,OPERATING MAINT WKR,1," 	62,291 "
2630,OPERATIONS CLERK,1," 	49,418 "
3623,OPERATING MAINT WKR,1," 	61,178 "
4803,STR MACH OPR 1,1," 	48,358 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
3475,STR MACH OPR 1,1," 	52,180 "
3110,STR MACH OPR 1,1," 	53,700 "
1049,ADMIN CLK 1-17,1," 	52,059 "
2602,STR MACH OPR 2,1," 	52,310 "
3082,STR MACH OPR 1,1," 	53,700 "
1778,STR MACH OPR 1,1," 	52,180 "
VACANT,VACANT,VACANT,VACANT
3564,STR MACH OPR 1,1," 	56,233 "
2774,PROCESS PLANT SUPV,1," 	81,454 "
3755,ASST STS SUPER,1," 	112,967 "
1300,STR SEW MAINT WKR 2,1," 	57,376 "
7736,STR MACH OPR 1,1," 	44,769 "
2016,STR MACH OPR 1,1," 	52,180 "
2986,STR MACH OPR 1,1," 	56,740 "
2528,STR MACH OPR 1,1," 	55,220 "
1284,STR MACH OPR 1,1," 	53,700 "
1640,STR MACH OPR 3,1," 	58,954 "
1779,STR MACH OPR 1,1," 	56,740 "
4483,STR MACH OPR 1,1," 	46,727 "
1585,STR MACH OPR 1,1," 	55,220 "
3249,STR MACH OPR 1,1," 	56,740 "
5444,STR MACH OPR 1,1," 	44,769 "
1563,STR MACH OPR 3,1," 	62,291 "
2691,STR MACH OPR 3,1," 	61,178 "
1591,STR MACH OPR 3,1," 	61,734 "
VACANT,VACANT,VACANT,VACANT
3481,STR MACH OPR 1,1," 	52,180 "
2457,STR MACH OPR 2,1," 	58,064 "
2176,PUB WKS GEN FORE,1," 	77,164 "
2419,ADMIN CLK 1,1," 	55,141 "
4121,STR MACH OPR 1,1," 	54,713 "
VACANT,VACANT,VACANT,VACANT
2672,PUB WKS GEN SUPV,1," 	89,547 "
2657,STR MACH OPR 1,1," 	56,740 "
3072,STR MACH OPR 2,1," 	56,495 "
2600,STR MACH OPR 1,1," 	56,740 "
3526,STR MACH OPR 3,1," 	62,291 "
2538,STR MACH OPR 1,1," 	55,726 "
2658,STR MACH OPR 3,1," 	62,291 "
2050,STR MACH OPR 1,1," 	53,700 "
3200,STR MACH OPR 2,1," 	55,449 "
VACANT,VACANT,VACANT,VACANT
2531,STR MACH OPR 1,1," 	56,233 "
3660,STS GEN SUPV,1," 	80,726 "
2826,STR MACH OPR 1,1," 	53,700 "
3016,STR MACH OPR 1,1," 	54,713 "
2877,STR MACH OPR 3,1," 	62,291 "
4013,STR MACH OPR 1,1," 	56,233 "
2330,STR MACH OPR 1,1," 	55,220 "
3375,STR MACH OPR 3,1," 	62,291 "
3272,STR MACH OPR 1,1," 	52,180 "
2732,STR MACH OPR 2,1," 	57,541 "
3790,STR MACH OPR 2,1," 	58,064 "
1757,MAINT MECH 1,1," 	64,694 "
1627,STR MACH OPR 2,1," 	53,879 "
VACANT,VACANT,VACANT,VACANT
3779,STR MACH OPR 1,1," 	52,180 "
2626,STR MACH OPR 1,1," 	56,233 "
2088,STR MACH OPR 3,1," 	62,291 "
1883,STR MACH OPR 2,1," 	53,879 "
2736,PUB WKS GEN FORE,1," 	77,164 "
1776,STR MACH OPR 1,1," 	55,220 "
1851,STR MACH OPR 1,1," 	55,726 "
2062,MAINT MECH 2,1," 	67,081 "
2290,WATERWKS OPR 2,1," 	69,566 "
1841,WATERWKS OPR 1,1," 	59,741 "
1540,PUB WKS MAINT WKR 2,1," 	56,889 "
10457,WATER QUALITY SAMPLER 1-16,1," 	46,722 "
VACANT,VACANT,VACANT,VACANT
5734,PROGRAM ASST 1,1," 	50,615 "
1026,WATER QUALITY MGR,1," 	102,027 "
2027,WATER UTIL MAINT SUP,1," 	83,212 "
2891,WATERWKS OPR 2,1," 	59,288 "
7342,PUB WKS MAINT WKR 2,1," 	46,722 "
3595,ADMIN CLK 2,1," 	55,118 "
3793,WATERWKS OPR 2,1," 	60,633 "
2262,ELECTRICIAN FOREPERS,1," 	81,528 "
VACANT,VACANT,VACANT,VACANT
3043,WATER UTIL OPR MGR,1," 	112,967 "
3778,MASTER MECHANIC,1," 	69,566 "
3726,ELECTRONIC MTN TECH,1," 	70,863 "
3609,PAINTER,1," 	55,503 "
3030,AUTO MECH,1," 	58,050 "
3230,DISPATCHER,1," 	57,868 "
2493,CROSS CON CTRL INSP,1," 	72,119 "
1315,WATERWKS OPR 1,1," 	63,123 "
1955,WATERWKS OPR 2,1," 	69,566 "
3274,EQPT OPR 1,1," 	53,758 "
9197,EQPT OPR 1,1," 	49,418 "
3874,WATERWKS OPR 2,1," 	69,566 "
VACANT,VACANT,VACANT,VACANT
2471,MAINT MECH 2,1," 	68,944 "
3046,CROSS CON CTRL INSP,1," 	71,475 "
2380,MAINT MECH 2,1," 	65,839 "
10245,PUB WKS MAINT WKR 2,1," 	46,722 "
1051,PUB WKS MAINT WKR 2,1," 	53,758 "
2359,EQPT OPR 1,1," 	53,758 "
1625,WATER UTIL OPR LDWKR,1," 	67,702 "
2695,WATER UTIL OPR LDWKR,1," 	67,702 "
9198,EQPT OPR 1,1," 	49,418 "
3833,EQPT OPR 1,1," 	55,323 "
3459,PUB WKS GEN SUPV,1," 	88,748 "
1583,WATER ONE CALL COORD,1," 	61,722 "
3050,EQPT OPR 3,1," 	63,123 "
9229,EQPT OPR 1,1," 	49,418 "
1832,EQPT OPR 3,1," 	58,050 "
VACANT,VACANT,VACANT,VACANT
1345,PUB WKS MAINT WKR 3,1," 	61,170 "
3350,PUB WKS MAINT WKR 3,1," 	60,620 "
10471,PUB WKS MAINT WKR 1,1," 	45,190 "
6000,EQPT OPR 1-16,1," 	52,192 "
2543,WATER UTIL OPR LDWKR,1," 	60,633 "
1586,WATER UTIL OPR LDWKR,1," 	68,944 "
2242,PUB WKS GEN FORE,1," 	77,164 "
1962,PUB WKS GEN FORE,1," 	77,860 "
3176,EQPT OPR 3,1," 	62,559 "
3680,EQPT OPR 1,1," 	53,758 "
2494,EQPT OPR 3,1," 	61,995 "
VACANT,VACANT,VACANT,VACANT
3181,WATER HYDRANT INSPEC,1," 	63,123 "
3155,WATER HYDRANT INSPEC,1," 	62,559 "
5954,EQPT OPR 1,1," 	52,192 "
3260,EQPT OPR 3,1," 	60,868 "
VACANT,VACANT,VACANT,VACANT
1488,WATER ONE CALL COORD,1," 	58,415 "
1812,WATER UTIL OPR LDWKR,1," 	68,323 "
3752,WATER QUAL SAMPLER 3,1," 	55,189 "
4045,PRINCIPAL ENGR WATER,1," 	115,331 "
2309,CROSS CON CTRL INSP,1," 	72,119 "
2958,FIELD SERV LDWKR 2,1," 	69,566 "
2366,ENGINEER 4,1," 	93,068 "
5001,FIELD SERV REP 2,1," 	53,582 "
2337,ACCT CLERK 3-20,1," 	53,558 "
3886,OPERATIONS CLERK,1," 	56,796 "
1090,WATER UTIL GEN MGR,1," 	145,086 "
4177,WATER COMM OUTREACH,1," 	63,125 "
6368,ENGR PROG SPEC 1,1," 	64,392 "
2310,WATER CONSTR SU,1," 	74,908 "
4003,ENGR AIDE 1,1," 	56,762 "
VACANT,VACANT,VACANT,VACANT
4941,WATER CIVIL TECH 3-16,1," 	62,112 "
3036,FIELD SERV REP 1,1," 	55,323 "
3866,WATER UTIL PUB INFO,1," 	74,908 "
5951,ACCOUNTANT 4,1," 	87,800 "
5982,WATER CIVIL TECH 3-16,1," 	62,112 "
3619,FIELD SERV ANAL,1," 	66,344 "
3279,FIELD SERV REP 2,1," 	60,620 "
3015,PROGRAM ASST 1,1," 	57,718 "
2868,FIELD SERV ANAL,1," 	67,550 "
2450,ADMIN CLK 1,1," 	55,141 "
2597,ADMIN CLK 1,1," 	53,172 "
7845,ADMIN CLK 1,1," 	46,454 "
VACANT,VACANT,VACANT,VACANT
8086,WATER UTIL ACCT/COMP,1," 	54,896 "
1609,FIN OPER LDWKR,1," 	59,250 "
1129,COMP MAP/GIS COORD,1," 	93,673 "
1716,WATER UTIL FIN MGR,1," 	112,967 "
5887,SURVEYOR 2,1," 	72,726 "
1384,ACCOUNTANT 2,1," 	77,090 "
2798,FIELD SERV REP 2,1," 	61,722 "
1932,FIELD SERV REP 3,1," 	65,143 "
1698,WATER CIVIL TECH 3,1," 	66,324 "
1948,FIRE APPARATUS ENGR,1," 	78,132 "
3687,FIREFIGHTER PARAMEDI,1," 	78,524 "
2804,FIRE LIEUTENANT,1," 	89,013 "
2440,FIRE LIEUTENANT,1," 	89,708 "
2103,DIVISION FIRE CHIEF,1," 	107,301 "
1342,FIRE LIEUTENANT,1," 	88,318 "
2295,FIRE LIEUTENANT,1," 	89,708 "
2167,FIRE LIEUTENANT,1," 	89,708 "
4139,FIRE APPARATUS ENGR,1," 	76,226 "
2365,FIRE LIEUTENANT,1," 	89,709 "
2138,DIVISION FIRE CHIEF,1," 	108,276 "
3850,FIRE APPARATUS ENGR,1," 	80,037 "
2998,FIRE APPARATUS ENGR,1," 	81,943 "
1140,FIRE APPARATUS ENGR,1," 	81,943 "
1785,FIRE APPARATUS ENGR,1," 	81,943 "
6783,FIREFIGHTER PARAMEDI,1," 	64,546 "
3457,FIRE APPARATUS ENGR,1," 	71,144 "
3317,FIRE APPARATUS ENGR,1," 	78,767 "
3805,FIRE LIEUTENANT,1," 	84,841 "
1422,FIRE APPARATUS ENGR,1," 	78,132 "
VACANT,VACANT,VACANT,VACANT
1317,FIREFIGHTER PARAMEDI,1," 	78,524 "
2849,FIRE LIEUTENANT,1," 	89,708 "
3201,FIREFIGHTER PARAMEDI,1," 	78,823 "
4000,FIRE APPARATUS ENGR,1," 	71,144 "
2388,FIRE APPARATUS ENGR,1," 	78,767 "
3094,FIRE APPARATUS ENGR,1," 	74,956 "
1809,FIRE APPARATUS ENGR,1," 	81,308 "
1843,FIRE APPARATUS ENGR,1," 	81,943 "
1849,FIRE LIEUTENANT,1," 	87,622 "
2505,FIRE APPARATUS ENGR,1," 	78,524 "
3556,FIRE APPARATUS ENGR,1," 	81,308 "
3675,FIRE LIEUTENANT,1," 	85,536 "
6719,FIREFIGHTER,1," 	58,678 "
1844,FIRE LIEUTENANT,1," 	88,318 "
3890,FIRE LIEUTENANT,1," 	89,013 "
1792,FIREFIGHTER,1," 	74,411 "
1098,FIREFIGHTER PARAMEDI,1," 	83,182 "
2218,FIREFIGHTER,1," 	62,312 "
2025,FIREFIGHTER,1," 	71,991 "
2057,FIREFIGHTER,1," 	71,386 "
2943,FIREFIGHTER,1," 	73,201 "
3096,FIREFIGHTER PARAMEDI,1," 	80,520 "
1836,FIREFIGHTER PARAMEDI,1," 	74,531 "
2853,DIVISION FIRE CHIEF,1," 	108,276 "
2887,FIRE LIEUTENANT,1," 	89,013 "
2399,FIREFIGHTER PARAMEDI,1," 	76,527 "
3939,FIRE LIEUTENANT,1," 	86,231 "
2636,FIRE APPARATUS ENGR,1," 	81,308 "
3056,FIREFIGHTER PARAMEDI,1," 	87,175 "
3070,FIRE APPARATUS ENGR,1," 	78,767 "
VACANT,VACANT,VACANT,VACANT
3353,FIREFIGHTER,1," 	80,461 "
4037,FIREFIGHTER,1," 	75,017 "
1395,FIREFIGHTER PARAMEDI,1," 	76,527 "
2066,FIREFIGHTER PARAMEDI,1," 	82,517 "
1219,FIREFIGHTER,1," 	68,362 "
6782,FIREFIGHTER,1," 	58,678 "
3402,FIREFIGHTER,1," 	77,436 "
3095,FIREFIGHTER PARAMEDI,1," 	82,936 "
2007,FIREFIGHTER,1," 	80,898 "
2533,FIREFIGHTER,1," 	62,312 "
3555,FIRE APPARATUS ENGR,1," 	81,186 "
1260,FIREFIGHTER,1," 	73,201 "
2837,FIRE APPARATUS ENGR,1," 	78,132 "
2464,FIRE APPARATUS ENGR,1," 	78,132 "
3099,FIRE APPARATUS ENGR,1," 	77,496 "
1777,FIRE LIEUTENANT,1," 	90,404 "
2140,FIREFIGHTER PARAMEDI,1," 	85,844 "
2964,FIREFIGHTER PARAMEDI,1," 	89,790 "
2329,FIRE LIEUTENANT,1," 	92,490 "
2317,FIREFIGHTER PARAMEDI,1," 	84,992 "
VACANT,VACANT,VACANT,VACANT
1130,FIRE LIEUTENANT,1," 	88,318 "
3933,FIRE APPARATUS ENGR,1," 	76,226 "
2149,FIRE LIEUTENANT,1," 	78,582 "
3453,FIREFIGHTER PARAMEDI,1," 	70,599 "
2582,FIREFIGHTER,1," 	75,621 "
2830,FIRE APPARATUS ENGR,1," 	79,402 "
1632,FIRE APPARATUS ENGR,1," 	76,226 "
4042,FIREFIGHTER,1," 	69,572 "
2523,FIREFIGHTER,1," 	75,017 "
1255,FIREFIGHTER,1," 	76,831 "
3132,FIREFIGHTER PARAMEDI,1," 	77,193 "
1099,DIVISION FIRE CHIEF,1," 	109,252 "
4060,FIREFIGHTER PARAMEDI,1," 	82,936 "
1701,FIRE LIEUTENANT,1," 	90,404 "
3116,FIRE APPARATUS ENGR,1," 	73,050 "
1638,FIREFIGHTER,1," 	73,201 "
1928,FIRE LIEUTENANT,1," 	89,708 "
2338,FIRE LIEUTENANT,1," 	89,708 "
3557,FIREFIGHTER,1," 	73,201 "
3894,FIRE LIEUTENANT,1," 	88,318 "
1830,FIREFIGHTER,1," 	79,251 "
1584,FIREFIGHTER,1," 	78,041 "
2542,FIREFIGHTER PARAMEDI,1," 	80,520 "
3248,FIRE LIEUTENANT,1," 	88,318 "
1137,FIREFIGHTER PARAMEDI,1," 	78,524 "
3801,FIREFIGHTER,1," 	65,942 "
3888,FIRE LIEUTENANT,1," 	89,013 "
2503,FIREFIGHTER,1," 	64,127 "
2750,FIREFIGHTER PARAMEDI,1," 	74,531 "
6771,FIREFIGHTER PARAMEDI,1," 	64,546 "
2397,FIREFIGHTER PARAMEDI,1," 	74,531 "
3010,FIREFIGHTER PARAMEDI,1," 	83,848 "
3552,FIRE CHIEF-ASST,1," 	127,856 "
1864,FIREFIGHTER PARAMEDI,1," 	76,860 "
1497,FIREFIGHTER,1," 	75,017 "
3423,FIRE LIEUTENANT,1," 	89,708 "
1496,FIREFIGHTER,1," 	68,967 "
2324,FIRE APPARATUS ENGR,1," 	78,132 "
VACANT,VACANT,VACANT,VACANT
2340,FIRE LIEUTENANT,1," 	86,927 "
2646,FIRE APPARATUS ENGR,1," 	86,390 "
3127,FIREFIGHTER,1," 	65,942 "
2745,FIREFIGHTER PARAMEDI,1," 	82,936 "
3468,FIREFIGHTER,1," 	56,687 "
2333,FIREFIGHTER PARAMEDI,1," 	89,790 "
3436,FIREFIGHTER,1," 	75,621 "
1240,FIREFIGHTER,1," 	75,621 "
1358,FIREFIGHTER,1," 	71,387 "
3838,FIRE LIEUTENANT,1," 	90,404 "
4115,FIRE LIEUTENANT,1," 	82,059 "
3832,FIRE APPARATUS ENGR,1," 	76,861 "
4183,FIREFIGHTER,1," 	71,386 "
1091,FIRE APPARATUS ENGR,1," 	78,767 "
3914,FIREFIGHTER,1," 	75,621 "
3183,FIREFIGHTER,1," 	70,781 "
2851,FIRE APPARATUS ENGR,1," 	78,132 "
1150,FIRE APPARATUS ENGR,1," 	81,943 "
1294,FIRE LIEUTENANT,1," 	90,404 "
2738,FIRE LIEUTENANT,1," 	89,013 "
2512,FIREFIGHTER PARAMEDI,1," 	87,175 "
1566,FIRE APPARATUS ENGR,1," 	81,943 "
2652,FIRE LIEUTENANT,1," 	89,708 "
2052,FIREFIGHTER,1," 	71,991 "
2631,FIRE APPARATUS ENGR,1," 	78,132 "
1521,FIRE APPARATUS ENGR,1," 	71,144 "
2391,FIRE APPARATUS ENGR,1," 	73,050 "
2334,FIRE LIEUTENANT,1," 	89,013 "
1072,FIREFIGHTER,1," 	71,387 "
3221,FIREFIGHTER,1," 	75,017 "
1875,FIREFIGHTER,1," 	65,942 "
1996,FIREFIGHTER PARAMEDI,1," 	87,175 "
2213,FIREFIGHTER PARAMEDI,1," 	78,524 "
2675,FIRE APPARATUS ENGR,1," 	74,320 "
5995,FIREFIGHTER,1," 	55,036 "
